Change your Coursera account setting,Account_Setup
Delete account,Account_Setup
Use Single Sign On to log in with your Coursera for Business account,Account_Setup
Setup Coursera account,Account_Setup
Password,Account_Setup
Create second account,Account_Setup
Change email setting for the forum,Account_Setup
Clear your cache & cookies,Account_Setup
Age restrictions,Account_Setup
Set up Coursera account,Account_Setup
Which data science course should I take?,Course_Recommendation
What course do you have,Course_Recommendation
Recommended training,Course_Recommendation
Recommend course,Course_Recommendation
Recommend courses,Course_Recommendation
Recommend  trainings,Course_Recommendation
Recommend me a course on nutrition,Course_Recommendation
Do you have any courses on genetics?,Course_Recommendation
What courses do you recommend?,Course_Recommendation
I want to learn Python,Course_Recommendation
What's the best course on Machine Learning?,Course_Recommendation
what is the best course,Course_Recommendation
what is the best training,Course_Recommendation
best for the best way to learn,Course_Recommendation
best for,Course_Recommendation
Free,Enrollment_Cost
What is payment fee,Enrollment_Cost
Do I have to pay for every course in a specialization?,Enrollment_Cost
Can I audit your courses for free?,Enrollment_Cost
Are you courses free?,Enrollment_Cost
How much do your courses cost?,Enrollment_Cost
How much is a Coursera subscription?,Enrollment_Cost
Course cost,Enrollment_Cost
What is the cost,Enrollment_Cost
Certificate cost,Enrollment_Cost
Specialization cost,Enrollment_Cost
Training cost,Enrollment_Cost
Introduce your self,General_About_You
I want to set up the chat bot for my shop,General_About_You
How old are you?,General_About_You
How do you function?,General_About_You
How can I configure you?,General_About_You
About you,General_About_You
Do you know who you are?,General_About_You
Do you have a name?,General_About_You
Describe your self,General_About_You
Can I use another language?,General_About_You
Where were you born?,General_About_You
Where are you from?,General_About_You
Who are you?,General_About_You
Why are you here?,General_About_You
Let us talk about you,General_About_You
Tell me about your life,General_About_You
Tell me something about yourself,General_About_You
What languages do you speak?,General_About_You
What should I know about you?,General_About_You
What's your name?,General_About_You
What can I ask you to do?,General_Agent_Capabilities
What are your skills?,General_Agent_Capabilities
What are you used for?,General_Agent_Capabilities
What are you good at?,General_Agent_Capabilities
What are you capable of?,General_Agent_Capabilities
What are you able to understand?,General_Agent_Capabilities
What are you able to deal with?,General_Agent_Capabilities
What do you handle?,General_Agent_Capabilities
What are my options that you can help with?,General_Agent_Capabilities
Tell me something,General_Agent_Capabilities
Tell me about what kind of things you do?,General_Agent_Capabilities
Is there anything you can help me with?,General_Agent_Capabilities
I'd like to know what type of questions you can answer for me.,General_Agent_Capabilities
Help now,General_Agent_Capabilities
I do not know what to ask,General_Agent_Capabilities
How do I use you?,General_Agent_Capabilities
How can you solve my problems?,General_Agent_Capabilities
How can you help me?,General_Agent_Capabilities
How can I use you?,General_Agent_Capabilities
"Hi, what do you do?",General_Agent_Capabilities
Where can I find the frequently asked questions?,General_Agent_Capabilities
What kinds of things can you do?,General_Agent_Capabilities
What is this 4?,General_Agent_Capabilities
What features are in here?,General_Agent_Capabilities
What else can you help me with?,General_Agent_Capabilities
Can you please give me a list of the types of things you can help me with?,General_Agent_Capabilities
Can you tell me what services you are able to help me with?,General_Agent_Capabilities
Do you have a list of things I can talk to you about?,General_Agent_Capabilities
What are my options?,General_Agent_Capabilities
What do you do?,General_Agent_Capabilities
I want agent,General_Connect_to_Agent
I want an agent to help me,General_Connect_to_Agent
I want to talk to a person,General_Connect_to_Agent
I would like to speak to a human,General_Connect_to_Agent
I would like to speak to someone,General_Connect_to_Agent
Is there anyone there I can actually talk to for real?,General_Connect_to_Agent
Need help from human,General_Connect_to_Agent
Operator please,General_Connect_to_Agent
Please assist me to get to an agent,General_Connect_to_Agent
Please connect me to a live agent,General_Connect_to_Agent
Can I speak to a live person?,General_Connect_to_Agent
Pls connect,General_Connect_to_Agent
Put me through to someone,General_Connect_to_Agent
Send me to an agent,General_Connect_to_Agent
"Yes, take me to a real person",General_Connect_to_Agent
Where is the closest agent?,General_Connect_to_Agent
"A real agent, please.",General_Connect_to_Agent
Agent help,General_Connect_to_Agent
Call agent,General_Connect_to_Agent
Can I connect to an agent?,General_Connect_to_Agent
Can I speak to a human please?,General_Connect_to_Agent
